City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,kabompo,-13.59,24.2,55.89,45,0,7.85,ZM,1593729521
359,kanniyakumari,8.08,77.57,81.12,73,100,18.39,IN,1593729521
360,shache,38.42,77.24,74.53,19,54,4.45,CN,1593729521
361,brawley,32.98,-115.53,102.2,13,1,4.21,US,1593729477
362,shubarkuduk,49.14,56.49,65.64,42,29,7.34,KZ,1593729521
363,magdalena,14.2,121.43,82.0,79,75,1.99,PH,1593729521
364,fort nelson,58.81,-122.7,62.6,93,90,12.75,CA,1593729521
365,trairi,-3.28,-39.27,77.43,80,42,9.66,BR,1593729521
366,duartina,-22.41,-49.4,60.01,64,0,1.99,BR,1593729521
367,fairbanks,64.84,-147.72,63.0,51,90,6.93,US,1593729521
368,abu dhabi,24.47,54.37,95.0,71,8,8.05,AE,1593729334
369,gizo,-8.1,156.84,80.78,81,95,19.82,SB,1593729521
370,katsuura,35.13,140.3,77.0,86,98,9.13,JP,1593729521
371,ratnagiri,16.98,73.3,79.39,87,100,9.46,IN,1593729521
372,bogorodskoye,56.55,37.88,61.45,96,100,6.44,RU,1593729521
373,davidson,36.15,-86.78,91.99,49,75,6.93,US,1593729522
374,pionki,51.48,21.45,71.01,80,100,4.07,PL,1593729522
375,alakurtti,66.97,30.35,45.0,90,20,2.46,RU,1593729522
376,freetown,8.48,-13.23,74.07,95,100,8.01,SL,1593729522
377,pedro juan caballero,-22.55,-55.73,55.4,71,0,11.41,PY,1593729522
378,poitiers,46.58,0.33,59.0,72,63,6.93,FR,1593729522
379,dunedin,-45.87,170.5,39.99,85,1,1.01,NZ,1593729522
380,mnogovershinnyy,53.94,139.92,57.72,63,85,10.02,RU,1593729522
381,constitucion,-35.33,-72.42,50.61,81,73,7.05,CL,1593729522
382,ancud,-41.87,-73.82,48.99,100,90,9.17,CL,1593729427
383,waddan,29.16,16.14,78.35,30,0,9.91,LY,1593729522
